Id,Type,Name,Regular price,Parent,Attribute 0 Name,Attribute 0 value(s),Attribute 0 global,Attribute 1 Name,Attribute 1 value(s),Attribute 1 global,Attribute 2 Name,Attribute 2 value(s),Attribute 2 global,Attribute 0 Name,Attribute 0 value(s),Attribute 0 global,Attribute 1 Name,Attribute 1 value(s),Attribute 1 global,Attribute 2 Name,Attribute 2 value(s),Attribute 2 global,Attribute 3 Name,Attribute 3 value(s),Attribute 3 global,Attribute 4 Name,Attribute 4 value(s),Attribute 4 global,Attribute 5 Name,Attribute 5 value(s),Attribute 5 global,Attribute 0 Name,Attribute 0 value(s),Attribute 0 global,Attribute 1 Name,Attribute 1 value(s),Attribute 1 global,Attribute 2 Name,Attribute 2 value(s),Attribute 2 global,Attribute 3 Name,Attribute 3 value(s),Attribute 3 global,Attribute 4 Name,Attribute 4 value(s),Attribute 4 global,Attribute 5 Name,Attribute 5 value(s),Attribute 5 global,Attribute 6 Name,Attribute 6 value(s),Attribute 6 global,Attribute 7 Name,Attribute 7 value(s),Attribute 7 global,Attribute 8 Name,Attribute 8 value(s),Attribute 8 global
109,Variable,MM-2CR,0,,Axis,"Single Axis (X), Dual Axis-Flat (XY), Dual Axis-Edge Mount (XZ), Three Axis (XYZ)",1,Actuator,"80 TPI Thumbscrew (standard), Headless Lead Screw, Thumb Grip",1,Vacuum Compatibility,"10^-3 Torr, 10^-6 Torr",1
,Variation,MM-2CR,825,id:109,Axis,80 TPI Thumbscrew (standard),1,Actuator,10^-3 Torr,1,Vacuum Compatibility,Single Axis (X),1
,Variation,MM-2CR,840,id:109,Axis,80 TPI Thumbscrew (standard),1,Actuator,10^-3 Torr,1,Vacuum Compatibility,Single Axis (X),1
,Variation,MM-2CR,840,id:109,Axis,80 TPI Thumbscrew (standard),1,Actuator,10^-3 Torr,1,Vacuum Compatibility,Single Axis (X),1
,Variation,MM-2CR,855,id:109,Axis,80 TPI Thumbscrew (standard),1,Actuator,10^-3 Torr,1,Vacuum Compatibility,Single Axis (X),1
,Variation,MM-2CR,840,id:109,Axis,80 TPI Thumbscrew (standard),1,Actuator,10^-3 Torr,1,Vacuum Compatibility,Single Axis (X),1
,Variation,MM-2CR,855,id:109,Axis,80 TPI Thumbscrew (standard),1,Actuator,10^-3 Torr,1,Vacuum Compatibility,Single Axis (X),1
,Variation,MM-2CR,1103,id:109,Axis,80 TPI Thumbscrew (standard),1,Actuator,10^-3 Torr,1,Vacuum Compatibility,Single Axis (X),1
,Variation,MM-2CR,1133,id:109,Axis,80 TPI Thumbscrew (standard),1,Actuator,10^-3 Torr,1,Vacuum Compatibility,Single Axis (X),1
,Variation,MM-2CR,1133,id:109,Axis,80 TPI Thumbscrew (standard),1,Actuator,10^-3 Torr,1,Vacuum Compatibility,Single Axis (X),1
,Variation,MM-2CR,1163,id:109,Axis,80 TPI Thumbscrew (standard),1,Actuator,10^-3 Torr,1,Vacuum Compatibility,Single Axis (X),1
,Variation,MM-2CR,1133,id:109,Axis,80 TPI Thumbscrew (standard),1,Actuator,10^-3 Torr,1,Vacuum Compatibility,Single Axis (X),1
,Variation,MM-2CR,1163,id:109,Axis,80 TPI Thumbscrew (standard),1,Actuator,10^-3 Torr,1,Vacuum Compatibility,Single Axis (X),1
